b3lypD3,
091CID7860, C2H2N0O2F0, -47.573119216, -68.994682804
092CID702, C2H6N0O1F0, -49.216303224, -94.148888449
093CID8254, C2H6N0O1F0, -43.426009494, -88.351691507
094CID7855, C3H3N1O0F0, 49.326669639, 19.702674030
095CID180, C3H6N0O1F0, -49.122198827, -96.811181480
096CID176, C2H4N0O2F0, -95.655513557, -130.524558523
097CID3776, C3H8N0O1F0, -56.659233972, -117.298082991
098CID10903, C3H8N0O1F0, -50.600820561, -111.560955023
099CID1146, C3H9N1O0F0, -5.517528022, -72.884197233
100CID8029, C4H4N0O1F0, -2.233404111, -42.112827131
101CID8027, C4H5N1O0F0, 33.685483395, -12.977607312
102CID1049, C5H5N1O0F0, 36.335354917, -14.174745355
103CID783, C0H2N0O0F0, -.24297219930, -6.51425483480
