KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
086CID674, C2H7N1O0F0, 8.830477, -41.844736, -84775.0183283
087CID6341, C2H7N1O0F0, 2.085755, -48.906352, -84782.0799437
088CID10038, C2H2N0O1F0, -21.141272, -39.414210, -95717.1583194
089CID6354, C2H4N0O1F0, -12.722648, -44.344548, -96461.5555827
090CID177, C2H4N0O1F0, -39.819387, -70.748517, -96487.9595510
091CID7860, C2H2N0O2F0, -60.477319, -81.216153, -142899.4743188
092CID702, C2H6N0O1F0, -45.758305, -89.835595, -97246.5135541
093CID8254, C2H6N0O1F0, -35.916384, -79.809185, -97236.4871446
094CID7855, C3H3N1O0F0, 38.752692, 9.800759, -107143.3205470
095CID180, C3H6N0O1F0, -50.836964, -96.991058, -121152.5505812
096CID176, C2H4N0O2F0, -104.776396, -138.365949, -143696.0910402
097CID3776, C3H8N0O1F0, -52.358655, -111.876145, -121906.9025925
098CID10903, C3H8N0O1F0, -42.009831, -101.620192, -121896.6466400
099CID1146, C3H9N1O0F0, 8.050091, -57.852598, -109429.3746786
100CID8029, C4H4N0O1F0, -19.433305, -58.314360, -144273.2885227
101CID8027, C4H5N1O0F0, 19.234495, -26.364338, -131817.8341340
102CID1049, C5H5N1O0F0, 17.340574, -32.055696, -155722.4070559
103CID783, C0H2N0O0F0, 5.694353, -.455191, -739.9221165
