KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
089CID6354, C2H4N0O1F0, -5.488118, -37.814712, -96464.251802
090CID177, C2H4N0O1F0, -33.960107, -65.649151, -96492.086241
091CID7860, C2H2N0O2F0, -46.917427, -68.340873, -142920.523309
092CID702, C2H6N0O1F0, -45.516697, -90.473127, -97245.939131
093CID8254, C2H6N0O1F0, -35.174085, -80.126750, -97235.592755
094CID7855, C3H3N1O0F0, 47.308193, 17.671648, -107151.561252
095CID180, C3H6N0O1F0, -43.149818, -90.868294, -121153.136800
096CID176, C2H4N0O2F0, -95.172655, -130.057388, -143711.268738
097CID3776, C3H8N0O1F0, -51.371195, -112.062128, -121903.359548
098CID10903, C3H8N0O1F0, -40.370326, -101.370621, -121892.668041
099CID1146, C3H9N1O0F0, 5.536272, -61.895657, -109418.215300
100CID8029, C4H4N0O1F0, -1.961062, -41.856800, -144281.898894
101CID8027, C4H5N1O0F0, 31.631917, -15.061294, -131820.125610
102CID1049, C5H5N1O0F0, 36.892870, -13.656763, -155725.523581
103CID783, C0H2N0O0F0, 2.042795, -4.223466, -733.252380
