KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
078CID241, C6H6N0O0F0, 10.028762, -47.561784, -145723.936433
079CID6329, C1H5N1O0F0, -7.682261, -43.560472, -60138.599713
080CID6342, C2H3N1O0F0, 13.225525, -13.033388, -83302.390642
081CID284, C1H2N0O2F0, -92.850514, -111.873987, -119093.710862
082CID7865, C2H4N0O2F0, -90.285417, -125.439351, -143748.364589
083CID178, C2H5N1O1F0, -62.957699, -104.442240, -131287.558925
084CID9033, C2H5N1O0F0, 24.417491, -14.856550, -84027.598979
085CID9999, C2H0N2O0F0, 68.876331, 58.391584, -116514.761024
086CID674, C2H7N1O0F0, -8.692714, -60.477365, -84796.604968
087CID6341, C2H7N1O0F0, -16.077245, -68.019402, -84804.147005
088CID10038, C2H2N0O1F0, -16.816799, -35.527738, -95764.693544
089CID6354, C2H4N0O1F0, -16.541616, -48.868209, -96501.419190
090CID177, C2H4N0O1F0, -42.993024, -74.682067, -96527.233048
091CID7860, C2H2N0O2F0, -55.076820, -76.500266, -142976.040329
092CID702, C2H6N0O1F0, -57.864665, -102.821095, -97278.757251
093CID8254, C2H6N0O1F0, -46.935960, -91.888625, -97267.824780
094CID7855, C3H3N1O0F0, 39.453670, 9.817124, -107197.243316
095CID180, C3H6N0O1F0, -56.837301, -104.555777, -121198.195120
096CID176, C2H4N0O2F0, -107.311632, -142.196365, -143765.121603
097CID3776, C3H8N0O1F0, -68.414518, -129.105450, -121946.129968
098CID10903, C3H8N0O1F0, -56.677580, -117.677875, -121934.702392
099CID1146, C3H9N1O0F0, -12.382005, -79.813935, -109457.029900
100CID8029, C4H4N0O1F0, -16.291604, -56.187343, -144344.144699
101CID8027, C4H5N1O0F0, 15.912489, -30.780722, -131878.929525
102CID1049, C5H5N1O0F0, 21.949889, -28.599744, -155794.451735
103CID783, C0H2N0O0F0, 1.209543, -5.056718, -728.441893
